Company Name,Symbol,Industry,Series,Open,High,Low,Previous Close,Last Traded Price,Change,Percentage Change,Share Volume,Value (Indian Rupee),52 Week High,52 Week Low,365 Day Percentage Change,30 Day Percentage Change
Go Fashion (India) Ltd.,GOCOLORS,Consumer Services,EQ,990,999.5,980,993.45,988.5,-4.95,-4.95,6325,6258208,1339.9,847.3,-4.95,-4.95
Godfrey Phillips India Ltd.,GODFRYPHLP,Fast Moving Consumer Goods,EQ,1089,1089,1042.65,1059.15,1061.35,2.2,2.2,12787,13588233.42,1408.75,933,2.2,2.2
Godrej Agrovet Ltd.,GODREJAGRO,Fast Moving Consumer Goods,EQ,503.85,507.65,500.6,506.95,502,-4.95,-4.95,22224,11190895.2,746.8,441,-4.95,-4.95
Godrej Consumer Products Ltd.,GODREJCP,Fast Moving Consumer Goods,EQ,757.05,785,750.55,757.55,782.95,25.4,25.4,743399,571740736.9,1138,660.05,25.4,25.4
Godrej Industries Ltd.,GODREJIND,Fast Moving Consumer Goods,EQ,433.85,435.65,424,433.85,426,-7.85,-7.85,59044,25182856.44,662,405,-7.85,-7.85
Godrej Properties Ltd.,GODREJPROP,Realty,EQ,1167,1233.45,1167,1182.95,1226,43.05,43.05,776473,937738677.4,2598,1129.55,43.05,43.05
Gujarat Pipavav Port Ltd.,GPPL,Services,EQ,75.95,78.5,74.5,77.1,78.25,1.15,1.15,679600,51744744,119,70.3,1.15,1.15
Granules India Ltd.,GRANULES,Healthcare,EQ,272.1,279.75,268.9,272.25,278.2,5.95,5.95,879548,242684884.2,404.8,226.95,5.95,5.95
Graphite India Ltd.,GRAPHITE,Capital Goods,EQ,391,393.1,383.2,393.05,388.75,-4.3,-4.3,176151,68404717.83,754,350,-4.3,-4.3
Grasim Industries Ltd.,GRASIM,Construction Materials,EQ,1320,1350,1305.3,1320.75,1345.7,24.95,24.95,516506,686565600.5,1929.8,1276.6,24.95,24.95
Grindwell Norton Ltd.,GRINDWELL,Capital Goods,EQ,1676.6,1703.05,1645.15,1683.05,1680,-3.05,-3.05,15338,25625196.6,2018.35,1161,-3.05,-3.05
G R Infraprojects Ltd.,GRINFRA,Construction,EQ,1105.55,1105.55,1080.3,1100.55,1093,-7.55,-7.55,6544,7140616.48,2267.65,1078.85,-7.55,-7.55
Gujarat State Fertilizers & Chemicals Ltd.,GSFC,Chemicals,EQ,131.3,131.8,127.1,132,130.6,-1.4,-1.4,1507206,194535078.4,198.8,98.1,-1.4,-1.4
Gujarat State Petronet Ltd.,GSPL,Oil Gas & Consumable Fuels,EQ,220.4,221.95,215.55,217.9,217.95,0.05,0.05,882222,192994884.7,379.2,209.45,0.05,0.05
Gujarat Alkalies & Chemicals Ltd.,GUJALKALI,Chemicals,EQ,683.3,692.95,664.4,689.35,689,-0.35,-0.35,215330,146672029.5,1044.7,401,-0.35,-0.35
Gujarat Gas Ltd.,GUJGASLTD,Oil Gas & Consumable Fuels,EQ,419,425.95,416.7,418.85,423,4.15,4.15,1078048,455033280.3,786,403.55,4.15,4.15
Hindustan Aeronautics Ltd.,HAL,Capital Goods,EQ,1763,1779.7,1727.4,1769.8,1737.7,-32.1,-32.1,430150,750263328.5,1972.55,1010,-32.1,-32.1
Happiest Minds Technologies Ltd.,HAPPSTMNDS,Information Technology,EQ,826.4,826.4,813,828.95,816.8,-12.15,-12.15,227373,186004756.4,1580,785.6,-12.15,-12.15
