Company Name,Symbol,Industry,Series,Open,High,Low,Previous Close,Last Traded Price,Change,Percentage Change,Share Volume,Value (Indian Rupee),52 Week High,52 Week Low,365 Day Percentage Change,30 Day Percentage Change
Sun Pharma Advanced Research Company Ltd.,SPARC,Healthcare,EQ,209.1,209.7,202.35,209.1,204,-5.1,-5.1,145955,29906179.5,349,170.45,-5.1,-5.1
Spicejet Ltd.,SPICEJET,Services,EQ,37.9,39.5,37.7,38.15,39.05,0.9,0.9,2091895,81416553.4,87.3,37.15,0.9,0.9
SRF Ltd.,SRF,Chemicals,EQ,2230,2239.75,2133.05,2252.2,2161.4,-90.8,-90.8,809031,1754035840,2773.35,1418.8,-90.8,-90.8
Shriram Transport Finance Co. Ltd.,SRTRANSFIN,Financial Services,EQ,1266.2,1274.8,1238.5,1281.35,1264,-17.35,-17.35,1071657,1348476720,1696.4,1002,-17.35,-17.35
Strides Pharma Science Ltd.,STAR,Healthcare,EQ,325.05,340,325.05,330.7,337,6.3,6.3,632891,210695742.8,818,263.35,6.3,6.3
Star Health and Allied Insurance Company Ltd.,STARHEALTH,Financial Services,EQ,490,490,469.05,488.7,475.9,-12.8,-12.8,1600279,758932315.8,940,469.05,-12.8,-12.8
Sterlite Technologies Ltd.,STLTECH,Telecommunication,EQ,148.5,150.1,145.05,148.45,147.5,-0.95,-0.95,374778,55276007.22,318,135.5,-0.95,-0.95
Sudarshan Chemical Industries Ltd.,SUDARSCHEM,Chemicals,EQ,419.25,423.8,416.8,419.25,420,0.75,0.75,25363,10650684.59,794,402,0.75,0.75
Sumitomo Chemical India Ltd.,SUMICHEM,Chemicals,EQ,424.15,425.95,420.95,424.15,422.75,-1.4,-1.4,84550,35780714.5,492,344.25,-1.4,-1.4
Sundaram Finance Ltd.,SUNDARMFIN,Financial Services,EQ,1735.25,1799,1735.25,1761.65,1798.5,36.85,36.85,6156,10914464.88,2729,1555,36.85,36.85
Sundram Fasteners Ltd.,SUNDRMFAST,Automobile and Auto Components,EQ,724,752,718.45,724.9,747,22.1,22.1,46481,34167253.48,993.7,673.05,22.1,22.1
Sun Pharmaceutical Industries Ltd.,SUNPHARMA,Healthcare,EQ,829.9,836.95,825,830.6,830.8,0.2,0.2,2316527,1921188502,967.05,664.2,0.2,0.2
Sunteck Realty Ltd.,SUNTECK,Realty,EQ,498.3,514,491.55,496.55,511,14.45,14.45,1770328,895184056.5,589.9,292.05,14.45,14.45
Sun TV Network Ltd.,SUNTV,Media Entertainment & Publication,EQ,413.8,425.7,411.85,412.55,423.5,10.95,10.95,2838077,1191935578,612,402.55,10.95,10.95
Suprajit Engineering Ltd.,SUPRAJIT,Automobile and Auto Components,EQ,330.05,339.75,326,332.45,337.25,4.8,4.8,108993,36269600.61,474.9,272.05,4.8,4.8
Supreme Industries Ltd.,SUPREMEIND,Capital Goods,EQ,1760.05,1780,1752.45,1766.85,1761,-5.85,-5.85,10943,19356306.69,2693.9,1666.25,-5.85,-5.85
Suven Pharmaceuticals Ltd.,SUVENPHAR,Healthcare,EQ,460,465,457.7,462.3,460.1,-2.2,-2.2,46758,21604066.32,631.75,425.7,-2.2,-2.2
Suzlon Energy Ltd.,SUZLON,Capital Goods,EQ,6.75,6.95,6.7,6.85,6.8,-0.05,-0.05,36152847,244754774.2,13.1,5.7,-0.05,-0.05
Sterling and Wilson Renewable Energy Ltd.,SWSOLAR,Construction,EQ,294.8,300,290.1,296.6,298.5,1.9,1.9,97483,28705819.01,509.1,248.1,1.9,1.9
Symphony Ltd.,SYMPHONY,Consumer Durables,EQ,876.95,879.5,855.05,876.7,865.5,-11.2,-11.2,180991,156613322.2,1215,828,-11.2,-11.2
Syngene International Ltd.,SYNGENE,Healthcare,EQ,550,564.1,544.8,554.75,563,8.25,8.25,135870,75301871.4,700,510.05,8.25,8.25
Tanla Platforms Ltd.,TANLA,Information Technology,EQ,998,1004,980.3,1004.65,1002,-2.65,-2.65,160015,159008505.7,2096.75,780,-2.65,-2.65
Tata Chemicals Ltd.,TATACHEM,Chemicals,EQ,791,804.9,773.35,793.35,800,6.65,6.65,770388,605756084.4,1158,719.3,6.65,6.65
Tata Coffee Ltd.,TATACOFFEE,Fast Moving Consumer Goods,EQ,193.9,199,192.25,193.9,198.25,4.35,4.35,568731,111198285.1,254.4,178.6,4.35,4.35
Tata Communications Ltd.,TATACOMM,Telecommunication,EQ,917.45,937.4,908.9,914.25,931,16.75,16.75,283046,261489216.6,1591.95,856.25,16.75,16.75
Tata Consumer Products Ltd.,TATACONSUM,Fast Moving Consumer Goods,EQ,700,722.95,697,706.35,721.5,15.15,15.15,954981,679086989.1,889,650.2,15.15,15.15
Tata Elxsi Ltd.,TATAELXSI,Information Technology,EQ,8170.55,8239,8022,8170.55,8155.15,-15.4,-15.4,270194,2196669114,9420,4033.1,-15.4,-15.4
Tata Investment Corporation Ltd.,TATAINVEST,Financial Services,EQ,1343.5,1343.5,1331,1342.15,1340,-2.15,-2.15,8592,11485270.08,1733.9,1118,-2.15,-2.15
Tata Motors Ltd.,TATAMOTORS,Automobile and Auto Components,EQ,410.65,414.6,402.3,411.8,413.7,1.9,1.9,14725989,5997895320,536.7,268.45,1.9,1.9
Tata Motors Ltd DVR,TATAMTRDVR,Automobile and Auto Components,EQ,197.7,198.65,192,197.8,198.25,0.45,0.45,1610634,314927266,298.65,129.15,0.45,0.45
Tata Power Co. Ltd.,TATAPOWER,Power,EQ,202.7,207.65,200.6,202.2,207.2,5,5,15807993,3224356332,298.05,118.4,5,5
Tata Steel Ltd.,TATASTEEL,Metals & Mining,EQ,866.95,875,859.1,867.05,871.2,4.15,4.15,5476189,4746979673,1534.5,827,4.15,4.15
Tata Steel Long Products Ltd.,TATASTLLP,Capital Goods,EQ,575,582.95,564.7,575.6,581,5.4,5.4,10870,6187856.2,1173,534,5.4,5.4
TCI Express Ltd.,TCIEXP,Services,EQ,1580,1624.85,1580,1594.4,1590.25,-4.15,-4.15,31026,49884223.32,2572,1280,-4.15,-4.15
TCNS Clothing Co. Ltd.,TCNSBRANDS,Textiles,EQ,537,543.7,526.9,530.8,537,6.2,6.2,20185,10831069.15,932,494.1,6.2,6.2
Tata Consultancy Services Ltd.,TCS,Information Technology,EQ,3260,3333,3252.05,3267.1,3331,63.9,63.9,1502879,4930344847,4043,3023.85,63.9,63.9
Teamlease Services Ltd.,TEAMLEASE,Services,EQ,3252,3358,3203.6,3236.15,3300,63.85,63.85,17375,57512466.25,5550,2910,63.85,63.85
Tech Mahindra Ltd.,TECHM,Information Technology,EQ,997,1014,989.3,1000,1011.25,11.25,11.25,1842102,1848880935,1838,943.7,11.25,11.25
Thermax Ltd.,THERMAX,Capital Goods,EQ,2060,2079.95,2022.35,2097.15,2036.25,-60.9,-60.9,30977,63452667.26,2347,1286.95,-60.9,-60.9
Thyrocare Technologies Ltd.,THYROCARE,Healthcare,EQ,622.9,627,613.2,621.05,617.8,-3.25,-3.25,33220,20545573.4,1374.9,613.2,-3.25,-3.25
Tube Investments of India Ltd.,TIINDIA,Automobile and Auto Components,EQ,1803.7,1835,1751,1841.3,1758,-83.3,-83.3,88311,157356955.4,2025,1081.05,-83.3,-83.3
Timken India Ltd.,TIMKEN,Capital Goods,EQ,2385,2484.75,2385,2377.3,2476,98.7,98.7,102059,249572016.8,2730,1450,98.7,98.7
Titan Company Ltd.,TITAN,Consumer Durables,EQ,1895,1954.35,1825.05,1941.25,1944.75,3.5,3.5,4064801,7729950766,2768,1662.5,3.5,3.5
Torrent Pharmaceuticals Ltd.,TORNTPHARM,Healthcare,EQ,2850,2925,2838.05,2860.25,2920,59.75,59.75,157824,457984730.9,3298.5,2484.15,59.75,59.75
Torrent Power Ltd.,TORNTPOWER,Power,EQ,451,460.6,449.4,451.65,460.6,8.95,8.95,220456,100386844.2,606.55,415.25,8.95,8.95
Trent Ltd.,TRENT,Consumer Services,EQ,1074.15,1088.1,1059.1,1074.15,1078,3.85,3.85,555368,595593304.2,1346.85,838,3.85,3.85
Trident Ltd.,TRIDENT,Textiles,EQ,38.65,38.8,37.65,38.7,38.2,-0.5,-0.5,2633568,100365276.5,70.35,16.3,-0.5,-0.5
Triveni Turbine Ltd.,TRITURBINE,Capital Goods,EQ,154.15,157.65,154.05,156.35,156.6,0.25,0.25,126459,19678284.99,231.7,107.1,0.25,0.25
Triveni Engineering & Industries Ltd.,TRIVENI,Fast Moving Consumer Goods,EQ,237,237,225.7,236.45,229.7,-6.75,-6.75,543017,124758155.8,374.5,159.45,-6.75,-6.75
TTK Prestige Ltd.,TTKPRESTIG,Consumer Durables,EQ,828,833.4,816.95,830.75,830,-0.75,-0.75,17948,14811048.56,1264.65,744.7,-0.75,-0.75
Tata Teleservices (Maharashtra) Ltd.,TTML,Telecommunication,EQ,121.4,122.7,118.5,121.1,119.4,-1.7,-1.7,2252618,269660900.8,290.15,32.75,-1.7,-1.7
TV18 Broadcast Ltd.,TV18BRDCST,Media Entertainment & Publication,EQ,39.1,39.45,38.4,38.95,39.1,0.15,0.15,4948800,192508320,82.6,33.2,0.15,0.15
TVS Motor Company Ltd.,TVSMOTOR,Automobile and Auto Components,EQ,837.5,886.3,827.3,841.95,836.05,-5.9,-5.9,3263584,2765887440,886.3,495,-5.9,-5.9
United Breweries Ltd.,UBL,Fast Moving Consumer Goods,EQ,1453.8,1509,1440,1452.8,1501.95,49.15,49.15,174055,256786822.6,1785.8,1274.5,49.15,49.15
UCO Bank,UCOBANK,Financial Services,EQ,11,11.2,10.75,10.95,11.05,0.1,0.1,1157345,12707648.1,15.9,10.55,0.1,0.1
UFLEX Ltd.,UFLEX,Capital Goods,EQ,580.6,583,568.05,580.6,579,-1.6,-1.6,59052,34016314.08,719,427,-1.6,-1.6
UltraTech Cement Ltd.,ULTRACEMCO,Construction Materials,EQ,5600,5699.75,5485,5607.3,5690,82.7,82.7,329610,1855160444,8269,5157.05,82.7,82.7
Union Bank of India,UNIONBANK,Financial Services,EQ,34.4,34.65,34,34.25,34.55,0.3,0.3,2376699,81520775.7,54.8,32.7,0.3,0.3
UPL Ltd.,UPL,Chemicals,EQ,630,646,621.95,632.4,642.85,10.45,10.45,3575548,2276015079,852.4,607.5,10.45,10.45
UTI Asset Management Company Ltd.,UTIAMC,Financial Services,EQ,643,643,628.05,645.9,640,-5.9,-5.9,46115,29270573.95,1216.2,595,-5.9,-5.9
Vaibhav Global Ltd.,VAIBHAVGBL,Consumer Services,EQ,301,306.95,287.9,299.9,303,3.1,3.1,131705,39561547.9,860,287.9,3.1,3.1
Vakrangee Ltd.,VAKRANGEE,Information Technology,EQ,26.75,27.5,26.15,26.75,26.7,-0.05,-0.05,2363491,62963400.24,47.2,23.55,-0.05,-0.05
Varroc Engineering Ltd.,VARROC,Automobile and Auto Components,EQ,300.5,307.45,295.1,299.7,305.1,5.4,5.4,134195,40414166.2,493.85,260,5.4,5.4
Varun Beverages Ltd.,VBL,Fast Moving Consumer Goods,EQ,790,809,786.2,790.55,790,-0.55,-0.55,951574,759584429.8,809,472.67,-0.55,-0.55
Vedanta Ltd.,VEDL,Metals & Mining,EQ,221.1,223.6,206,223,213.7,-9.3,-9.3,26130465,5596884298,440.75,206,-9.3,-9.3
V-Guard Industries Ltd.,VGUARD,Consumer Durables,EQ,224.2,226.75,217.1,225.2,218.5,-6.7,-6.7,212688,47031697.44,274.8,181,-6.7,-6.7
Vijaya Diagnostic Centre Ltd.,VIJAYA,Healthcare,EQ,333.2,361,331.55,333.2,351.25,18.05,18.05,203583,71673430.98,672,295,18.05,18.05
Vinati Organics Ltd.,VINATIORGA,Chemicals,EQ,1977,2024.9,1936.7,1982.9,1983,0.1,0.1,40500,80528580,2290,1674.2,0.1,0.1
V.I.P. Industries Ltd.,VIPIND,Consumer Durables,EQ,626.5,631.8,606.4,626.5,618.9,-7.6,-7.6,125113,77473722.99,774.6,374,-7.6,-7.6
V-Mart Retail Ltd.,VMART,Consumer Services,EQ,2497.65,2500,2425,2485.2,2471,-14.2,-14.2,28139,69418913,4848.8,2406.85,-14.2,-14.2
Voltas Ltd.,VOLTAS,Consumer Durables,EQ,949.8,969.65,938.1,972.4,959,-13.4,-13.4,1129398,1079952956,1356.9,922.55,-13.4,-13.4
Vardhman Textiles Ltd.,VTL,Textiles,EQ,265.45,273.25,262.1,265.05,272.95,7.9,7.9,431463,115235138,2880,245.5,7.9,7.9
Welspun Corp Ltd.,WELCORP,Capital Goods,EQ,217,221.55,213.1,218.85,214.65,-4.2,-4.2,880477,190852194.5,250.65,105.85,-4.2,-4.2
Welspun India Ltd.,WELSPUNIND,Textiles,EQ,69.6,70.4,68.15,69.45,69.9,0.45,0.45,1174496,81275123.2,170.7,62.2,0.45,0.45
Westlife Development Ltd.,WESTLIFE,Consumer Services,EQ,498,508,490.05,497.3,491,-6.3,-6.3,50304,25038816,629,402.3,-6.3,-6.3
Whirlpool of India Ltd.,WHIRLPOOL,Consumer Durables,EQ,1552,1579.8,1538.5,1560.85,1560,-0.85,-0.85,62441,97504743.55,2550,1365.1,-0.85,-0.85
Wipro Ltd.,WIPRO,Information Technology,EQ,415,423.2,411.4,416.05,422.05,6,6,4453624,1855023468,739.85,402.05,6,6
Wockhardt Ltd.,WOCKPHARMA,Healthcare,EQ,206.95,208.8,205.15,208.55,207,-1.55,-1.55,375081,77671773.48,592,205.15,-1.55,-1.55
Yes Bank Ltd.,YESBANK,Financial Services,EQ,12.65,12.75,12.55,12.65,12.7,0.05,0.05,18633694,235902566,16.25,10.5,0.05,0.05
Zee Entertainment Enterprises Ltd.,ZEEL,Media Entertainment & Publication,EQ,213,215.85,210.6,214.1,215.5,1.4,1.4,4131369,880807870.8,378.7,166.8,1.4,1.4
Zensar Technolgies Ltd.,ZENSARTECH,Information Technology,EQ,273.15,273.55,268.4,272.1,270,-2.1,-2.1,186578,50467483.22,587,246.65,-2.1,-2.1
ZF Commercial Vehicle Control Systems India Ltd.,ZFCVINDIA,Automobile and Auto Components,EQ,7748,7900,7525.3,7716.6,7680,-36.6,-36.6,12790,98846236,8780.05,6793.3,-36.6,-36.6
Zomato Ltd.,ZOMATO,Consumer Services,EQ,54.15,56.7,52.55,53.85,56,2.15,2.15,112078641,6193465702,169,50.05,2.15,2.15
Zydus Lifesciences Ltd.,ZYDUSLIFE,Healthcare,EQ,356.9,364.05,354.3,357,364,7,7,862373,310014469.8,651.9,319,7,7
Zydus Wellness Ltd.,ZYDUSWELL,Fast Moving Consumer Goods,EQ,1635,1635,1605,1636.85,1627,-9.85,-9.85,10803,17495674.56,2476.85,1430,-9.85,-9.85
